TrueDistance,TrueAngle,Distance,Angle
12108.0002,0,12142.6597,0.4716
12099.3295,0.0684,12096.3648,-1.1671
12090.6758,0.1369,12060.3016,-0.1072
12082.04,0.2055,12106.171,-0.2841
12073.4212,0.2742,12131.6779,0.6359
12064.8193,0.343,12012.9901,-2.7553
12056.2354,0.4119,12014.1274,-3.1314
12047.6693,0.4809,12018.9697,2.106
12039.1202,0.55,11943.9322,-1.308
12030.589,0.6192,12015.6464,2.013
12022.0748,0.6884,12040.6124,-0.4749
12013.5793,0.7578,11969.82,1.8763
12005.1,0.8273,11945.6103,-0.3765
11996.6385,0.8969,11986.3889,-0.4257
11988.1949,0.9666,12032.1876,0.8533
11979.7701,1.0363,11972.7257,4.3257
11971.3622,1.1062,11895.2358,4.3384
11962.9723,1.1762,12042.2584,1.015
11954.6002,1.2462,12078.4914,0.3831
11946.246,1.3164,11969.4659,1.3926
11937.9097,1.3867,11887.5682,2.378
11929.5922,1.457,11863.7529,2.0839
11921.2916,1.5275,11938.6464,-0.4124
11913.0099,1.5981,11865.6564,2.3543
11904.746,1.6687,11837.6595,-0.4307
11896.5,1.7395,11924.8,-0.1193
11888.2728,1.8103,11929.628,-0.1641
11880.0625,1.8813,11850.2507,1.1195
11871.8711,1.9523,11822.4764,2.6807
11863.6984,2.0235,11866.7507,2.8205
11855.5436,2.0947,11985.2409,2.8964
11847.4075,2.1661,11813.9988,-0.9522
11839.2894,2.2375,11896.7012,3.6302
11831.19,2.3091,11830.7206,-1.0024
11823.1094,2.3807,11857.3138,-0.457
11815.0467,2.4524,11742.6243,2.2653
11807.0027,2.5243,11828.9432,0.621
11798.9776,2.5962,11738.9068,2.646
11790.9703,2.6682,11740.7486,0.7741
11782.9826,2.7404,11789.0677,1.5759
11775.0129,2.8126,11689.885,6.2363
11767.0628,2.8849,11736.5751,1.0833
11759.1298,2.9573,11780.6581,3.6574
11751.2164,3.0298,11717.6941,5.1493
11743.3235,3.1025,11778.1797,3.4825
11735.4476,3.1752,11613.248,1.9043
11727.5906,3.248,11715.4518,2.1519
11719.754,3.3209,11791.977,1.014
11711.9354,3.3939,11691.851,0.4662
11704.1355,3.467,11718.0347,6.072
11696.3553,3.5402,11767.8899,3.0299
11688.5948,3.6135,11704.4494,2.8754
11680.8522,3.6869,11679.8767,3.1852
11673.1301,3.7604,11688.7772,4.9849
11665.4259,3.834,11587.7232,3.7213
11657.7414,3.9077,11540.722,1.565
11650.0765,3.9815,11711.9899,0.2095
11642.4304,4.0553,11667.2748,3.8077
11634.8049,4.1293,11605.6547,5.4313
11627.1973,4.2034,11768.3575,4.0401
11619.6102,4.2776,11676.7699,5.0648
11612.0419,4.3518,11654.8857,4.6131
11604.4933,4.4262,11691.3816,2.9421
11596.9652,4.5007,11610.0401,3.1048
11589.455,4.5752,11526.7584,3.6774
11581.9654,4.6499,11615.9445,5.7076
